codigo,nombre,costo_neto,precio_venta,marca_fabricante
1213008,Manguito CUFF de presión adulto 1 vía x,0.00,,""
1213009,Manguito CUFF de presión pediátrico 1 vía x,0.00,,""
1213010,Mezclador de Aire Oxigeno 0-3 LPM,0.00,,""
1213016,Fuente de alimentación original BMC G3,43650.00,154350.00,""
1213017,Fuente de alimentación original BMC G2-G2S,130950.00,158760.00,""
1213018,Caudalímetro c/acople rápido,0.00,,""
1213019,Caudalímetro conexión DISS,0.00,,""
1213020,Aerocámara colapsable c/conector de 22mm AEROVENT,0.00,,""
1213021,Aspirador manual HAND 17574,130478580.00,,""
1213022,Boquillas de cartón adulto para espirometría,0.00,,""
1213024,Guía p/capnografía GALEMED 300002,0.00,,""
1213025,Juego 6 peritas precordiales adulto,0.00,,""
1213026,Juego de 4 pinzas electro adulto,0.00,,""
1213027,Reservorio 100 cc 127-100,0.00,,""
1213028,Set KANGAROO GS-324,0.00,,""
1213029,Sistema cerrado de aspiración ad. FRENCH SIS16FR,0.00,,""
1213030,Trampa de agua adulto BESMED 96122,0.00,,""
1213031,Válvula de fonación c/conex. de oxíg. SHILEY SSVO,0.00,,""
1213032,Válvula de fonación SHILEY SSV,26166429.00,,""
1213034,Guantes de latex talle medium EUROMIX x100 u,0.00,,""
1213035,Guantes de latex talle large EUROMIX x100 u,0.00,,""
1213036,Cabezal de temperatura oral y p/axilas FT10,0.00,,""
1213037,Regulador de presión pre-ajustado,0.00,,""
1213039,Rollo de papel para ECG 80x30 RG503/RG506/RG606,4679280.00,,""
1213040,Valvula espiratoria Nv. Graphnet TS,0.00,,""
1213041,Chicote tubuladura 22 mm 2 tramos x 35 cm CH-22,0.00,,""
1213042,Fuente de alimentación AC Inogen One G3 BA-301,183330.00,222264.00,""
1213043,Fuente de aliment. DC Inogen One G3,43650.00,66150.00,""
1213044,Fuente de alimentación de AC Inogen G4 BA-401,582000.00,588000.00,""
1213045,Cable paciente Electrobisturí KAIROS MX-1,0.00,,""
1213046,Cable paciente ECG 10 deriv. FUKUDA Denshi FX-7102,0.00,,""
1213047,Software USB Key Dog KONSUNG,0.00,,""
1213048,Caudalímetro (M2) O2 0-15 DISS,0.00,,""
1213050,Manguera de O2 1.5mts (BL) conexión DISSR/DISSR,0.00,,""
1213051,Manguera de aire 1.5mts (AM) conexión DISSR/DISSR,0.00,,""
1213052,Soporte p/amurar compatible monitor multiparame.,0.00,,""
1213054,Guía MILSET Enteral Pico Cruz - Escalonado,0.00,,""
1213055,Hebilla para polígrafo BMC,0.00,,""
1213056,Nolato Bolsa p/anestesia de 1.0lts,0.00,,""
1213057,Tramo de tubbing T63 PVC x 2mts,0.00,,""
1214001,Porta suero pie 5 ramas 2 ganchos,0.00,,""
1216002,Conector recto roscado c/tubbing CRRT,1294950.00,,""
1216003,Conector c/pico toma de presión 22mm M-H 1002,1287675.00,,""
1216004,Conector 22-22-15 c/toma presión,0.00,,""
1216005,Conector 22H - 6M,0.00,,""
1216006,Conector 22H-15M,0.00,,""
1216007,Conector 22H-22M-10M,0.00,,""
1216008,Conector (humidificador a bigotera) 22H-6M,0.00,,""
1216009,Conector 22M-15M,0.00,,""
1216010,Conector 22M-22M-15H MM,0.00,,""
1216011,Conector espiga,0.00,,""
1216012,Conector en T 22OD/15ID/22OD 30015,0.00,,""
1216013,Conector recto 22M,0.00,,""
1216014,Conector O2 para PB560 2962799,1529292.30,,""
1216015,Conector aerocámara adulto HUDSON DCDMDIA,0.00,,""
1216016,Conector aerocámara pediátrico HUDSON DCDMDIP,0.00,,""
1216017,Conector aerocámara HUDSON pediátrico 1751HU,0.00,,""
1216018,Conector M c/acople rápido para CUFF,0.00,,""
1216019,Con. p/guía de alimentación FID MEDICAL PICOCRUZ,0.00,,""
1216020,Conector pico tomagoma AGO 997,0.00,,""
1216021,Adaptador escalonado enfit ANET,0.00,,""
1216022,Whisper BESMED CT-14317,2020704.00,,""
1216023,Conector pico tomagoma AGO 996,0.00,,""
1218004,Prolongador de oximetría COVIDIEN DOC10,72.75,,""
1218005,Prolongador para oxímetro MASIMO LNC10,0.00,,""
1218006,Prolongador para oxímetro MASIMO LNC14,0.00,,""
1218007,Prolongador SPO2 BCI 3 mts,0.00,,""
1218009,PROLONGADOR DE SENSOR DE FLUJO/PRESIÓN MAGNAMED,0.00,,""
1219001,Bolso original BMC para modelo G1,0.00,,""
1219002,Bolso original BMC para modelo GII,0.00,,""
1219003,Bolso original BMC para modelo G2S,0.00,,""
1219004,Bolso para aspirador MOVI-VAC,19788000.00,,""
1219005,Bolso original BMC para modelo G3,43650.00,154350.00,""
1219006,Bolso original LONGFIAN para modelo JAY-10D,0.00,,""
1219007,Bolso mochila O2,9966750.00,,""
1219008,Cinta sin dinamómetro para mochila O2,0.00,,""
1219009,BOLSO INOGEN ONE,0.00,,""
1220001,Frasco alimentación enteral 650 ml FRASFID650,909564.15,,""
1220002,Frasco humidificador WESMED 500 ml 0480,0.00,,""
1220003,Frasco humidificador BESMED 400 ml 72460,4640169.60,,""
1220004,Frasco humidificador HUDSON 500 ml 3260,4169186.10,,""
1220005,Frasco plástico c/ tapa para aspirador SILFAB,10837422.00,,""
1220006,Frasco humidificador GALEMED 500 cc 3416,0.00,,""
1220007,Frasco de vidrio 2 lts SILFAB,0.00,,""
1221002,Circ. simple rama s/trampa ad. COVIDIEN 5093600,0.00,,""
1221003,Circ. doble rama c/trampa ped. COVIDIEN 5093900,45399724.80,,""
1221005,Circ. simple rama HUDSON neonatal 780-10,0.00,,""
1221006,Circ. doble rama s/trampa neo. HUDSON 780-11,0.00,,""
1221007,Circ. doble rama c/trampa ped. HUDSON 780-22,39371907.15,,""
1221008,Circ. doble rama c/trampa ad. HUDSON 1625,40772810.25,,""
1221009,Circuito respiratorio c/trampa adulto DCD001,0.00,,""
1221010,Circuito respiratorio c/trampa adulto DCD003,0.00,,""
1221011,Circuito respiratorio adulto DCD006,0.00,,""
1221012,Circuito respiratorio c/trampa DCD007,0.00,,""
1221013,Circuito respiratorio adulto c/trampa DCD013,0.00,,""
1221014,Circ. doble rama DCD010 de anestesia adulto 1.5m,4766885.55,,""
