os,origen,texto_fuente,keywords_fuente,codigo_candidato,nombre_candidato,costo_neto,score,confianza
28826,texto_trabajos,KW:zeolita_tamiz,compresor | filtro | rueda | zeolita_tamiz,1504002,Kit de canister zeolita compatible conc. G3 SP-563,385575.00,51,baja
28826,texto_trabajos,KW:zeolita_tamiz,compresor | filtro | rueda | zeolita_tamiz,1504004,CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR),130950.00,48,baja
28826,texto_trabajos,KW:compresor,compresor | filtro | rueda | zeolita_tamiz,PS-051,CAMISAS COMPRESOR THOMAS 2650 X 2 UNIDADES,36375.00,46,baja
28826,texto_trabajos,KW:rueda,compresor | filtro | rueda | zeolita_tamiz,PS-062,SOPORTE RUEDAS LONGFIAN JAY-5,0.00,36,baja
28862,texto_trabajos,KW:filtro,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,1208043,Conjunto de filtro compatible c/conc. G4 SP-704,152775.00,47,baja
28862,texto_trabajos,KW:filtro,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,SP704,Conjunto de filtro compatible c/conc. G4,72750.00,47,baja
28862,texto_trabajos,KW:bateria_pila,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,1204001,Jarra para aspirador a batería BEMIS 800 c.c.,4980930.60,45,baja
28862,texto_trabajos,KW:zeolita_tamiz,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,1504002,Kit de canister zeolita compatible conc. G3 SP-563,385575.00,45,baja
28862,texto_trabajos,KW:zeolita_tamiz,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,1504004,CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR),130950.00,45,baja
28862,texto_trabajos,KW:bateria_pila,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,DIR-02C,Filtro de aire (Pack x 4)PC-305,436500.00,41,baja
28862,texto_trabajos,KW:tecla_boton_llave,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,SC-108,LLAVE ENCENDIDO LONGFIAN JA5-5/JAY-5Q,1455.00,33,baja
28862,texto_trabajos,KW:tecla_boton_llave,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,1516005,Llave cónica p/montaje de comp. específ. Magnamed,0.00,30,baja
28864,item_presupuesto,Canister ceolita EVERFLO + Válvula,valvula_pillow | zeolita_tamiz,1504010,Canister ceolita EVERFLO + Válvula,0.00,200,alta
28864,item_presupuesto,Canister ceolita EVERFLO + Válvula,valvula_pillow | zeolita_tamiz,1504006,CANISTER CEOLITA LONGFIAN JAY-10,240075.00,90,media
28864,item_presupuesto,Canister ceolita EVERFLO + Válvula,valvula_pillow | zeolita_tamiz,1504004,CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR),130950.00,90,media
28866,texto_trabajos,KW:filtro,filtro,1208018,Filtro interno respirador ASTRAL 27939,7275.00,58,baja
28866,texto_trabajos,KW:filtro,filtro,1208040,Filtro externo p/CPAP DM28 YAMIND,55290.00,57,baja
28867,item_presupuesto,RECAMBIO CIOLITA (PAR),zeolita_tamiz,1504008,RECAMBIO CEOLITA AIRSEP (PAR),145500.00,105,media
28867,item_presupuesto,FILTRO PARTIC MEDIAS AIRSEP NEW LIFE (EXTERNO),filtro,SP507,FILTRO PART.MEDIAS CONC.REPIRONICS MILLENIUM (EXTERNO),2619.00,93,media
28867,item_presupuesto,FILTRO PARTIC MEDIAS AIRSEP NEW LIFE (EXTERNO),filtro,1208016,Filtro de aire interno AIRSEP NEW LIFE,7275.00,90,media
28867,item_presupuesto,FILTRO PARTIC MEDIAS AIRSEP NEW LIFE (EXTERNO),filtro,1208012,Filtro de aire externo AIRSEP NEW LIFE,4365.00,90,media
28867,item_presupuesto,RECAMBIO CIOLITA (PAR),zeolita_tamiz,1504004,CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR),130950.00,73,baja
28867,item_presupuesto,RECAMBIO CIOLITA (PAR),zeolita_tamiz,1504006,CANISTER CEOLITA LONGFIAN JAY-10,240075.00,71,baja
28870,texto_trabajos,KW:filtro,filtro,1208043,Conjunto de filtro compatible c/conc. G4 SP-704,152775.00,48,baja
28870,texto_trabajos,KW:filtro,filtro,SP704,Conjunto de filtro compatible c/conc. G4,72750.00,46,baja
28871,texto_trabajos,KW:bateria_pila,bateria_pila | motor | placa | tecla_boton_llave,1509002,Batería de 8 celdas Inogen One G4 BA-408,2109750.00,42,baja
28871,texto_trabajos,KW:motor,bateria_pila | motor | placa | tecla_boton_llave,SC-102,CABLE ACCESORIO DE 12V ENCENDEDOR DE AUTOMOTOR,8730.00,41,baja
28871,texto_trabajos,KW:placa,bateria_pila | motor | placa | tecla_boton_llave,1223017,Sensor SPO2 broche adulto AURORA KONSUNG original,33553027.50,41,baja
28871,texto_trabajos,KW:placa,bateria_pila | motor | placa | tecla_boton_llave,1502003,PLACA DE CONTROL G3 C20 PARA CPAP,121245.15,41,baja
28871,texto_trabajos,KW:bateria_pila,bateria_pila | motor | placa | tecla_boton_llave,1204001,Jarra para aspirador a batería BEMIS 800 c.c.,4980930.60,40,baja
28871,texto_trabajos,KW:motor,bateria_pila | motor | placa | tecla_boton_llave,PS-039,SOPORTE INTERNO BATERIA/MOTOR,2910.00,39,baja
28871,texto_trabajos,KW:tecla_boton_llave,bateria_pila | motor | placa | tecla_boton_llave,SC-108,LLAVE ENCENDIDO LONGFIAN JA5-5/JAY-5Q,1455.00,39,baja
28871,texto_trabajos,KW:tecla_boton_llave,bateria_pila | motor | placa | tecla_boton_llave,1516005,Llave cónica p/montaje de comp. específ. Magnamed,0.00,39,baja
28874,texto_trabajos,KW:valvula_pillow,gabinete_carcasa | valvula_pillow,1213032,Válvula de fonación SHILEY SSV,26166429.00,61,baja
28874,texto_trabajos,KW:valvula_pillow,gabinete_carcasa | valvula_pillow,MP-042,MANIJA VOLCABLE P/VALVULA SUPERIOR CON ESPINA,9166.50,61,baja
28874,texto_trabajos,KW:gabinete_carcasa,gabinete_carcasa | valvula_pillow,SC-106,GABINETE COMPLETO,61110.00,50,baja
28874,texto_trabajos,KW:gabinete_carcasa,gabinete_carcasa | valvula_pillow,SC-112,GABINETE MOVI VAC A-220,0.00,48,baja
28875,item_presupuesto,Electroválvulas,electrovalvula | valvula_pillow,1519006,ELECTROVÁLVULA LONGFIAN JAY-5Q,0.00,102,media
28875,item_presupuesto,Placa pirncipal,placa,SC-104,PLACA PRINCIPAL BPAP 30T,242504.85,96,media
28875,item_presupuesto,Electroválvulas,electrovalvula | valvula_pillow,1519001,ELECTROVÁLVULA LONGFIAN JAY-5/JAY-10,0.00,94,media
28875,item_presupuesto,Placa pirncipal,placa,SC-101,PLACA PRINCIPAL BPAP 25A & 25T,242504.85,90,media
28875,item_presupuesto,Placa pirncipal,placa,1502005,PLACA PRINCIPAL G3 B30VT PARA BMC,242504.85,83,baja
28875,item_presupuesto,Electroválvulas,electrovalvula | valvula_pillow,PS-030,PORTA VALVULAS,0.00,82,baja
28875,item_presupuesto,Ceolitas,zeolita_tamiz,1504008,RECAMBIO CEOLITA AIRSEP (PAR),145500.00,70,baja
