os,fecha_ingreso,fecha_entrega,cliente,tipo_equipo,marca,modelo,items_repuesto_presupuesto,keywords_texto,propuesta_top_3,tipo_match,descripcion_problema,trabajos_realizados
28815,2025-12-05 00:00:00,,DOMICILIO SALUD,oxímetro de pulso,Nellcor,N-560,,bateria_pila,1509002 - Batería de 8 celdas Inogen One G4 BA-408 (score:53) || 1204001 - Jarra para aspirador a batería BEMIS 800 c.c. (score:47),inferido_texto,bateria obsoleta - carcaza de frente e inferior rota,cambio de bateria 12v 1.3a - cambio de carcaza de frente e inferior
28816,2025-12-05 00:00:00,,PRAXAIR ARG.,oxímetro de pulso,Nellcor,N-560,,bateria_pila | placa,1509002 - Batería de 8 celdas Inogen One G4 BA-408 (score:54) || 1204001 - Jarra para aspirador a batería BEMIS 800 c.c. (score:48) || 1509001 - Bateria 4400MA BEDSIDE SPO2 original (score:48),inferido_texto,error 526(falla en modulo SPo2) - bateria obsoleta - carcaza inferior rota,cambio de modulo spo2 y bateria 12v 1.3a - cambio de carcaza inferior
28817,2025-12-05 00:00:00,,PRAXAIR ARG.,oxímetro de pulso,Nellcor,N-560,,bateria_pila,1509002 - Batería de 8 celdas Inogen One G4 BA-408 (score:60) || 1509003 - Batería p/conc. portátil LONGFIAN JAY-10D (score:57),inferido_texto,bateria obsoleta,CAMBIO DE BATERIA 12V 1.3A - CONTROL DE FUNCIONAMIENTO OK
28819,2025-12-05 00:00:00,,PRAXAIR ARG.,oxímetro de pulso,Nellcor,N-560,,bateria_pila,1509002 - Batería de 8 celdas Inogen One G4 BA-408 (score:60) || 1509003 - Batería p/conc. portátil LONGFIAN JAY-10D (score:57),inferido_texto,bateria obsoleta,cambio de bateria 12v 1.3a - control de funcionamiento ok
28820,2025-12-05 00:00:00,,PRAXAIR ARG.,oxímetro de pulso,Nellcor,N-560,,bateria_pila,1509002 - Batería de 8 celdas Inogen One G4 BA-408 (score:63) || 1509003 - Batería p/conc. portátil LONGFIAN JAY-10D (score:62),inferido_texto,BATERIA OBSOLETA,CAMBIO DE BATERIA 12V 1.3A - CONTROL OK
28826,2025-12-05 00:00:00,,PRAXAIR ARG.,CONCENTRADOR DE OXÍGENO,Longfian,JAY-5Q,,compresor | filtro | rueda | zeolita_tamiz,SP818 - KIT S/CAMISAS COMPRESOR THOMAS 2650 (GRANDES) (score:53) || SP704 - Conjunto de filtro compatible c/conc. G4 (score:52) || 1208043 - Conjunto de filtro compatible c/conc. G4 SP-704 (score:51),inferido_texto,"compresor ruidoso 
rueda delantera faltante
zeolita degradada",colocación de rueda faltante - cambio de labios - cambio de filtros - cambio de zeolita - colocacion de banda elastica
28862,2025-12-09 00:00:00,2025-12-18 07:06:00,OXICASTHOMECARE,CONCENTRADOR DE OXÍGENO,Longfian,JAY-5Q,,bateria_pila | filtro | tecla_boton_llave | zeolita_tamiz,1208043 - Conjunto de filtro compatible c/conc. G4 SP-704 (score:47) || SP704 - Conjunto de filtro compatible c/conc. G4 (score:47) || 1204001 - Jarra para aspirador a batería BEMIS 800 c.c. (score:45),inferido_texto,"zeolita degradada
pila alarma degradada","cambio de zeolita - cambio de pila alarma - cambio de filtros - corrección de tecla ON/OFF - control y limpieza del equipo

Se BONIFICA el cambio de zeolitas por posible falla de fábrica."
28864,2025-12-09 00:00:00,,HOSPICE KAMALAYA,CONCENTRADOR DE OXÍGENO,Philips Respironics,EVERFLO,Canister ceolita EVERFLO + Válvula,filtro | valvula_pillow | zeolita_tamiz,1504010 - Canister ceolita EVERFLO + Válvula (score:200),directo_item,,reemplazó de tamiz - cambio de válvula pilow - cambio de filtro - limpieza interna externa - control de funcionamiento
28866,2025-12-09 00:00:00,,SIMPLE SALUD,CONCENTRADOR DE OXÍGENO,AirSep,NewLife Elite,,filtro,1208018 - Filtro interno respirador ASTRAL 27939 (score:58) || 1208040 - Filtro externo p/CPAP DM28 YAMIND (score:57),inferido_texto,el equipo esta en buenas condiciones,"cambio de filtro externo - control de funcionamiento - concentra en 5L 92,3/94,6%"
28867,2025-12-09 00:00:00,,SIMPLE SALUD,CONCENTRADOR DE OXÍGENO,AirSep,NewLife Elite,RECAMBIO CIOLITA (PAR) || FILTRO PARTIC MEDIAS AIRSEP NEW LIFE (EXTERNO),electrovalvula | filtro | valvula_pillow | zeolita_tamiz,1504008 - RECAMBIO CEOLITA AIRSEP (PAR) (score:105) || SP507 - FILTRO PART.MEDIAS CONC.REPIRONICS MILLENIUM (EXTERNO) (score:93),directo_item,"válvula de alivio rota
zeolita degradada
electroválvula degradada",cambio zeolita (CAN 0034/35) - cambio de válvula de alivio - cambio de electroválvula - cambio de filtros
28870,2025-12-11 00:00:00,2026-01-13 07:17:00,DIAGNOSTIC MEDIC,CPAP,BMC,CPAP G2,,filtro,1208043 - Conjunto de filtro compatible c/conc. G4 SP-704 (score:48) || SP704 - Conjunto de filtro compatible c/conc. G4 (score:46),inferido_texto,OSCILACION DE PRESION CUANDO EL RESLEX ESTA ACTIVADO,ACTUALIZACION DE SOFTWARE PARA CORRECCION DE FALLA EN RESLEX - CALIBRACION DEL EQUIPO - CONTROL DE FUNCIONAMIENTO OK - CAMBIO DE FILTRO
28871,2025-12-11 00:00:00,2025-12-30 13:47:00,SOENSA,ASPIRADOR A BATERÍAS,Movi-vac,A-550,,bateria_pila | motor | placa | tecla_boton_llave,1509002 - Batería de 8 celdas Inogen One G4 BA-408 (score:42) || SC-102 - CABLE ACCESORIO DE 12V ENCENDEDOR DE AUTOMOTOR (score:41) || 1223017 - Sensor SPO2 broche adulto AURORA KONSUNG original (score:41),inferido_texto,PULSADOR DE ENCENDIDO DESARMADO,"REPARACION DE LLAVE DE ENCENDIDO (REARMADO MONTAJE DE LLAVE ENCENDIDO) DESMONTAJE TOTAL DE MOTOR BATERIAS Y PLACA ELECTRONICA LIMPIEZA INTERIOR MONTAJE DE BATERIAS , LIMPIEZA MOTOR Y LUBRICACION CON GRASA EN AEROSOL CONTROL DE FUNCIONAMIENTO PLACA ELECTRONICA"
28874,2025-12-12 00:00:00,2025-12-24 08:03:00,AVIL SALUD SRL,ASPIRADOR A BATERÍAS,Movi-vac,A-550,,gabinete_carcasa | valvula_pillow,1213032 - Válvula de fonación SHILEY SSV (score:61) || MP-042 - MANIJA VOLCABLE P/VALVULA SUPERIOR CON ESPINA (score:61) || SC-106 - GABINETE COMPLETO (score:50),inferido_texto,VALVULA AGUJA FORZADA,LUBRICACION VALVULA AGUJA Y FIJACION A GABINETE
28875,2025-12-15 00:00:00,2026-01-14 07:19:00,SIED,CONCENTRADOR DE OXÍGENO,AirSep,NewLife Elite,Ceolitas || Electroválvulas || Placa pirncipal,electrovalvula | filtro | placa | valvula_pillow | zeolita_tamiz,1519006 - ELECTROVÁLVULA LONGFIAN JAY-5Q (score:102) || SC-104 - PLACA PRINCIPAL BPAP 30T (score:96) || 1504008 - RECAMBIO CEOLITA AIRSEP (PAR) (score:70),directo_item,"placa principal con componentes quemados 
electroválvula defectuosa 
zeolita degradada",cambio de placa principal - cambio de electroválvula - cambio de filtros - cambio zeolita (CAN 0026/27) - control y limpieza del equipo
28876,2025-12-15 00:00:00,2026-01-13 11:59:48,SIED,CONCENTRADOR DE OXÍGENO,Longfian,JAY-5,Ceolita || Cooler,cooler | filtro | zeolita_tamiz,1505003 - COOLER  KONSUNG (score:115) || 1504008 - RECAMBIO CEOLITA AIRSEP (PAR) (score:101),directo_item,"Cooler quemado
zeolita degradada",cambio de cooler - cambio zeolita - cambio de filtros - control y limpieza del equipo
28877,2025-12-15 00:00:00,2026-01-13 11:58:26,SIED,CONCENTRADOR DE OXÍGENO,Longfian,JAY-5Q,,zeolita_tamiz,1504002 - Kit de canister zeolita compatible conc. G3 SP-563 (score:55) || 1504008 - RECAMBIO CEOLITA AIRSEP (PAR) (score:50),inferido_texto,"pico de salida roto
zeolita degradada/ concentraba 86/89%",cambio de pico de salida O2 - cambio de zeolita - cambio de banda elástica - control y limpieza del equipo
28882,2025-12-09 00:00:00,,DOMICILIO SALUD,BOMBA DE ALIMENTACIÓN,Kangaroo,224,,bateria_pila,PS-039 - SOPORTE INTERNO BATERIA/MOTOR (score:59) || SP821 - Kit de tablero de batería G5 (score:58),inferido_texto,NO FUNCIONA A BATERIA,"CONTROL DE FUNCIONAMIENTO, CAMBIO DE BATERIAS LOTE 9868"
28888,2025-12-16 00:00:00,,ALEXANDER FLEMING S A,BOMBA DE ASPIRACION DE DRENAJE,EI,K-135,,fusible | manguera,1213050 - Manguera de O2 1.5mts (BL) conexión DISSR/DISSR (score:43) || 1213051 - Manguera de aire 1.5mts (AM) conexión DISSR/DISSR (score:43) || ME-014 - PORTA FUSIBLE 5X20 P/IMPRESO C/TAPA (score:39),inferido_texto,"leds testigos y porta fusible flojos
conectores llenos de cinta 
mangueras internas vencidas",cambio de mangueras - ajuste de leds testigos y porta fusible - limpieza de cinta en conectores y columna de agua - control y limpieza del equipo
28889,2025-12-16 00:00:00,2026-01-13 11:58:48,SIED,BOMBA DE INFUSIÓN,Kangaroo,324,,,,sin_indicios,NO DETECTA IMAN DE GOTERO,"AJUSTE DE ALOJAMIENTO IMAN DE GOTERO, CONTROL DE FUNCIONAMIENTO"
28891,2025-12-15 00:00:00,2026-01-09 11:43:00,BIOMEDICAL CARE SUR S.A.S.,CPAP,Yamind,DM26,,,,sin_indicios,"microsd del equipo pide formatear por error de numero de serie - cuando se intento leer los datos de tarjeta en el software somnus tiro el error  ""La operación aritmética ha provocado un desbordamiento"" - equipo con bastante polvo y tierra en su interior","-El equipo pide formatear la microSD cuando se enciende porque esta línea de equipos solo permite una microSD por equipo, no permite usar la misma para diferentes equipos
-Se identificaron los archivos corruptos de la sd y se intercambiaron por otros que no lo estén, de otro equipo, haciendo esto se logro leer los datos de terapia en el somnus con el inconveniente de que a la hora de leer los datos, el numero de serie que figurara es el del equipo que se usaron los archivos - se enviara una carpeta comprimida con todos los datos óptimos para leerlos - se recomienda formatear la microSD y usarla nuevamente en el equipo que corresponde
-Limpieza interior y exterior de equipo, control de funcionamiento ok"
28892,2025-12-15 00:00:00,2026-01-06 11:39:00,BIOMEDICAL CARE SUR S.A.S.,CPAP,BMC,CPAP G2S,,filtro,1208043 - Conjunto de filtro compatible c/conc. G4 SP-704 (score:43) || SP704 - Conjunto de filtro compatible c/conc. G4 (score:43),inferido_texto,equipo entrega presiones erroneas cuando el reslex esta activado,actualizacion de software para correccion de falla en reslex - calibracion del equipo - control de funcionamiento ok - limpieza interior y exterior - cambio de filtro
28893,2025-12-17 00:00:00,2026-01-09 11:34:00,SOENSA,AUTO CPAP,BMC,AUTO CPAP G2S,,filtro | motor | placa,1208016 - Filtro de aire interno AIRSEP NEW LIFE (score:43) || 1208012 - Filtro de aire externo AIRSEP NEW LIFE (score:43) || SC-102 - CABLE ACCESORIO DE 12V ENCENDEDOR DE AUTOMOTOR (score:40),inferido_texto,"EQUIPO CON SILBIDO EN TURBINA POR RODAMIENTO DESGASTADO - REQUIERE CAMBIO DE TURBINA - PLACA OK 
 EQUIPO EN GARANTIA NO SE ENCONTRARON ANOMALIAS O SIGNOS DE MAL USO DEL EQUIPO E",CONTROL DE FUNCIONAMIENTO DE TODOS LOS PARAMETROS DEL EQUIPO OK - CAMBIO DE TURBINA - CAMBIO DE FILTRO
28894,2025-12-18 00:00:00,2026-01-20 07:11:00,PANAS,ASPIRADOR A BATERÍAS,Movi-vac,A-550,,bateria_pila | gabinete_carcasa,PS-039 - SOPORTE INTERNO BATERIA/MOTOR (score:63) || 1204001 - Jarra para aspirador a batería BEMIS 800 c.c. (score:59) || SC-106 - GABINETE COMPLETO (score:50),inferido_texto,"NOCARGA BATERIA, SOPORTE MANIJA ROTO","REPARATO GABINETE SOPORTE DE MANIJA, CAMBIO DE FUJSE BATERIA"
28895,2025-12-18 00:00:00,2026-01-20 07:10:00,PANAS,ASPIRADOR A BATERÍAS,Movi-vac,A-550,,bateria_pila,1204001 - Jarra para aspirador a batería BEMIS 800 c.c. (score:43) || 1204002 - Tapa de jarra p/aspirador a batería BEMIS 800 c.c. (score:43),inferido_texto,equipo no funcionaba correctamente a baterias - baterias descargadas -,se cargaron las baterias hasta que lleguen a la tensión normal de las mismas (estaban muy descargadas) - control de funcionamiento de baterias ok - control de carga ok - aspiracion maxima 550mmHg
