"os","esperado","actual","estado"
"28896","IN-001 x1.00 || ME-041 x2.00","IN-001 x1.00 || ME-041 x2.00","OK"
"28909","IN-001 x1.00 || ME-041 x2.00","IN-001 x1.00 || ME-041 x2.00","OK"
"28911","IN-001 x1.00","IN-001 x1.00","OK"
"28921","IN-001 x1.00","IN-001 x1.00","OK"
