os,fecha_ingreso,fecha_entrega,cliente,marca,modelo,tipo_equipo,quote_item_id,tipo_item,item_descripcion,qty,precio_u,costo_u_neto,repuesto_codigo,descripcion_problema,trabajos_realizados
28864,2025-12-09 00:00:00,,HOSPICE KAMALAYA,Philips Respironics,EVERFLO,CONCENTRADOR DE OXÍGENO,3698,repuesto,Canister ceolita EVERFLO + Válvula,1.00,525600.00,438000.00,1504010,"",reemplazó de tamiz - cambio de válvula pilow - cambio de filtro - limpieza interna externa - control de funcionamiento
28866,2025-12-09 00:00:00,,SIMPLE SALUD,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,"","","","","","","",el equipo esta en buenas condiciones,"cambio de filtro externo - control de funcionamiento - concentra en 5L 92,3/94,6%"
28867,2025-12-09 00:00:00,,SIMPLE SALUD,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,3706,repuesto,RECAMBIO CIOLITA (PAR),1.00,195750.00,145000.00,1110003,"válvula de alivio rota
zeolita degradada
electroválvula degradada",cambio zeolita (CAN 0034/35) - cambio de válvula de alivio - cambio de electroválvula - cambio de filtros 
28867,2025-12-09 00:00:00,,SIMPLE SALUD,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,3707,repuesto,FILTRO PARTIC MEDIAS AIRSEP NEW LIFE (EXTERNO),1.00,5220.00,4350.00,1208012,"válvula de alivio rota
zeolita degradada
electroválvula degradada",cambio zeolita (CAN 0034/35) - cambio de válvula de alivio - cambio de electroválvula - cambio de filtros 
28882,2025-12-09 00:00:00,,DOMICILIO SALUD,Kangaroo,224,BOMBA DE ALIMENTACIÓN,"","","","","","","",NO FUNCIONA A BATERIA,"CONTROL DE FUNCIONAMIENTO, CAMBIO DE BATERIAS LOTE 9868 "
28870,2025-12-11 00:00:00,2026-01-13 07:17:00,DIAGNOSTIC MEDIC,BMC,CPAP G2,CPAP,"","","","","","","",OSCILACION DE PRESION CUANDO EL RESLEX ESTA ACTIVADO,ACTUALIZACION DE SOFTWARE PARA CORRECCION DE FALLA EN RESLEX - CALIBRACION DEL EQUIPO - CONTROL DE FUNCIONAMIENTO OK - CAMBIO DE FILTRO
28871,2025-12-11 00:00:00,2025-12-30 13:47:00,SOENSA,Movi-vac,A-550,ASPIRADOR A BATERÍAS,"","","","","","","",PULSADOR DE ENCENDIDO DESARMADO,"REPARACION DE LLAVE DE ENCENDIDO (REARMADO MONTAJE DE LLAVE ENCENDIDO) DESMONTAJE TOTAL DE MOTOR BATERIAS Y PLACA ELECTRONICA LIMPIEZA INTERIOR MONTAJE DE BATERIAS , LIMPIEZA MOTOR Y LUBRICACION CON GRASA EN AEROSOL CONTROL DE FUNCIONAMIENTO PLACA ELECTRONICA"
28874,2025-12-12 00:00:00,2025-12-24 08:03:00,AVIL SALUD SRL,Movi-vac,A-550,ASPIRADOR A BATERÍAS,"","","","","","","",VALVULA AGUJA FORZADA,LUBRICACION VALVULA AGUJA Y FIJACION A GABINETE
28875,2025-12-15 00:00:00,2026-01-14 07:19:00,SIED,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,3651,repuesto,Ceolitas,1.00,195750.00,"","","placa principal con componentes quemados 
electroválvula defectuosa 
zeolita degradada",cambio de placa principal - cambio de electroválvula - cambio de filtros - cambio zeolita (CAN 0026/27) - control y limpieza del equipo
28875,2025-12-15 00:00:00,2026-01-14 07:19:00,SIED,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,3652,repuesto,Electroválvulas,1.00,20000.00,"","","placa principal con componentes quemados 
electroválvula defectuosa 
zeolita degradada",cambio de placa principal - cambio de electroválvula - cambio de filtros - cambio zeolita (CAN 0026/27) - control y limpieza del equipo
