device_id,numero_serie,modelo_actual,modelo_nuevo,mg_key,modelo_excel
25372,MG 4531,JAY,JAY-5,MG4531,JAY-5
25448,MG 7096,JAY,JAY-10,MG7096,JAY-10
25444,MG 5111,JAY,JAY-5Q,MG5111,JAY-5Q
25475,MG 5489,JAY,JAY-5Q,MG5489,JAY-5Q
25476,MG 5326,JAY,JAY-5Q,MG5326,JAY-5Q
25441,MG 3756,JAY,JAY-5,MG3756,JAY-5
25442,MG 4920,JAY,JAY-5,MG4920,JAY-5
25443,MG 6500,JAY,JAY-5,MG6500,JAY-5
25460,MG 4201,JAY,JAY-5,MG4201,JAY-5
25527,MG 5012,JAY,JAY-5,MG5012,JAY-5
25502,MG 7108,JAY,JAY-10,MG7108,JAY-10
25657,MG 7096,JAY,JAY-10,MG7096,JAY-10
25582,MG 4736,JAY,JAY-5,MG4736,JAY-5
25583,MG 4439,JAY,JAY-5,MG4439,JAY-5
25584,MG 5147,JAY,JAY-5Q,MG5147,JAY-5Q
25595,MG 4914,JAY,JAY-5,MG4914,JAY-5
25670,MG 4538,JAY,JAY-5,MG4538,JAY-5
25680,MG 5029,JAY,JAY-5,MG5029,JAY-5
25756,MG 3830,JAY,JAY-5,MG3830,JAY-5
25760,MG 4551,JAY,JAY-5,MG4551,JAY-5
25768,MG 5155,JAY,JAY-5Q,MG5155,JAY-5Q
25774,MG 4783,JAY,JAY-5,MG4783,JAY-5
25775,MG 4775,JAY,JAY-5,MG4775,JAY-5
25783,MG 4920,JAY,JAY-5,MG4920,JAY-5
25838,MG 4725,JAY,JAY-5,MG4725,JAY-5
25847,MG 6778,JAY,JAY-5,MG6778,JAY-5
25804,MG 5133,JAY,JAY-5Q,MG5133,JAY-5Q
25906,MG 5111,JAY,JAY-5Q,MG5111,JAY-5Q
25880,MG 5000,JAY,JAY-5,MG5000,JAY-5
25921,MG 4058,JAY,JAY-5,MG4058,JAY-5
25922,MG 4717,JAY,JAY-5,MG4717,JAY-5
25923,MG 4584,JAY,JAY-5,MG4584,JAY-5
25924,MG 4056,JAY,JAY-5,MG4056,JAY-5
25934,MG 6797,JAY,JAY-5,MG6797,JAY-5
25937,MG 6554,JAY,JAY-5,MG6554,JAY-5
25957,MG 4574,JAY,JAY-5,MG4574,JAY-5
26031,MG 7017,JAY,JAY-10,MG7017,JAY-10
25961,MG 4593,JAY,JAY-5,MG4593,JAY-5
26081,MG 7108,JAY,JAY-10,MG7108,JAY-10
26083,MG 7104,JAY,GII T-25T,MG7104,GII T-25T
25977,MG 4560,JAY,JAY-5,MG4560,JAY-5
25978,MG 4781,JAY,JAY-5,MG4781,JAY-5
25935,MG 5325,JAY,JAY-5Q,MG5325,JAY-5Q
26058,MG 4701,JAY,JAY-5,MG4701,JAY-5
26158,MG 5000,JAY,JAY-5,MG5000,JAY-5
26196,MG 5507,JAY,JAY-5Q,MG5507,JAY-5Q
26190,MG 7096,JAY,JAY-10,MG7096,JAY-10
26118,MG 5137,JAY,JAY-5Q,MG5137,JAY-5Q
26188,MG 5463,JAY,JAY-5Q,MG5463,JAY-5Q
26238,MG 5107,JAY,JAY-5Q,MG5107,JAY-5Q
26281,MG 4560,JAY,JAY-5,MG4560,JAY-5
26282,MG 4982,JAY,JAY-5,MG4982,JAY-5
26316,MG 4926,JAY,JAY-5,MG4926,JAY-5
26382,MG 5155,JAY,JAY-5Q,MG5155,JAY-5Q
26349,MG 5010,JAY,JAY-5,MG5010,JAY-5
26357,MG 4591,JAY,JAY-5,MG4591,JAY-5
26521,MG 4741,JAY,JAY-5,MG4741,JAY-5
26529,MG 7016,JAY,JAY-5,MG7016,JAY-5
26452,MG 5489,JAY,JAY-5Q,MG5489,JAY-5Q
26545,MG 6796,JAY,JAY-5,MG6796,JAY-5
26546,MG 4593,JAY,JAY-5,MG4593,JAY-5
26534,MG 5129,JAY,JAY-5Q,MG5129,JAY-5Q
26536,MG 5492,JAY,JAY-5Q,MG5492,JAY-5Q
26547,MG 5478,JAY,JAY-5Q,MG5478,JAY-5Q
26577,MG 5507,JAY,JAY-5Q,MG5507,JAY-5Q
26569,MG 6500,JAY,JAY-5,MG6500,JAY-5
26576,MG 5000,JAY,JAY-5,MG5000,JAY-5
26582,MG 7016,JAY,JAY-5,MG7016,JAY-5
26655,MG 4566,JAY,JAY-5,MG4566,JAY-5
26658,MG 6441,JAY,JAY-5,MG6441,JAY-5
26703,MG 5137,JAY,JAY-5Q,MG5137,JAY-5Q
26686,MG 6791,JAY,JAY-5,MG6791,JAY-5
26734,MG 4754,JAY,JAY-5,MG4754,JAY-5
26755,MG 5011,JAY,JAY-5,MG5011,JAY-5
26779,MG 4783,JAY,JAY-5,MG4783,JAY-5
26782,MG 4438,JAY,JAY-5,MG4438,JAY-5
26970,MG 5477,JAY-5,JAY-5Q,MG5477,JAY-5Q
26880,MG 5108,JAY,JAY-5Q,MG5108,JAY-5Q
26844,MG 5019,JAY,JAY-5,MG5019,JAY-5
26976,MG 5332,JAY,JAY-5Q,MG5332,JAY-5Q
26866,MG 4538,JAY,JAY-5,MG4538,JAY-5
26964,MG 4928,JAY,JAY-5,MG4928,JAY-5
26965,MG 4931,JAY,JAY-5,MG4931,JAY-5
26967,MG 4498,JAY,JAY-5,MG4498,JAY-5
26972,MG 6413,JAY,JAY-5,MG6413,JAY-5
26974,MG 4742,JAY,JAY-5,MG4742,JAY-5
26989,MG 4717,JAY,JAY-5,MG4717,JAY-5
27057,MG 7096,JAY,JAY-10,MG7096,JAY-10
27033,MG 5491,JAY,JAY-5Q,MG5491,JAY-5Q
27065,MG 5507,JAY,JAY-5Q,MG5507,JAY-5Q
27051,MG 4987,JAY,JAY-5,MG4987,JAY-5
27076,MG 5011,JAY,JAY-5,MG5011,JAY-5
27121,MG 4201,JAY,JAY-5,MG4201,JAY-5
27127,MG 4572,JAY,JAY-5,MG4572,JAY-5
27126,MG 7104,JAY,GII T-25T,MG7104,GII T-25T
27128,MG 6572,JAY,JAY-5,MG6572,JAY-5
27143,MG 6555,JAY,JAY-5,MG6555,JAY-5
27182,MG 4918,JAY,JAY-5,MG4918,JAY-5
27200,MG 4544,JAY,JAY-5,MG4544,JAY-5
27209,MG 4737,JAY,JAY-5,MG4737,JAY-5
27310,MG 4754,JAY,JAY-5,MG4754,JAY-5
27311,MG 4725,JAY,JAY-5,MG4725,JAY-5
27330,MG 5476,JAY-5,JAY-5Q,MG5476,JAY-5Q
27319,MG 3561,JAY,JAY-5,MG3561,JAY-5
27321,MG 4734,JAY,JAY-5,MG4734,JAY-5
27322,MG 4735,JAY,JAY-5,MG4735,JAY-5
27325,MG 4795,JAY,JAY-5,MG4795,JAY-5
27326,MG 4801,JAY,JAY-5,MG4801,JAY-5
27327,MG 4984,JAY,JAY-5,MG4984,JAY-5
27328,MG 4988,JAY,JAY-5,MG4988,JAY-5
27329,MG 4993,JAY,JAY-5,MG4993,JAY-5
27333,MG 6445,JAY,JAY-5,MG6445,JAY-5
27334,MG 6504,JAY,JAY-5,MG6504,JAY-5
27341,MG 5051,JAY,JAY-5Q,MG5051,JAY-5Q
27335,MG 6537,JAY,JAY-5,MG6537,JAY-5
27342,MG 5054,JAY,JAY-5Q,MG5054,JAY-5Q
27336,MG 6778,JAY,JAY-5,MG6778,JAY-5
27338,MG 6797,JAY,JAY-5,MG6797,JAY-5
27345,MG 5151,JAY,JAY-5Q,MG5151,JAY-5Q
27376,MG 5108,JAY,JAY-5Q,MG5108,JAY-5Q
27414,MG 5326,JAY,JAY-5Q,MG5326,JAY-5Q
27353,MG 6411,JAY,JAY-5,MG6411,JAY-5
27371,MG 4931,JAY,JAY-5,MG4931,JAY-5
27372,MG 4928,JAY,JAY-5,MG4928,JAY-5
27373,MG 4538,JAY,JAY-5,MG4538,JAY-5
27375,MG 5019,JAY,JAY-5,MG5019,JAY-5
27443,MG 5008,JAY,JAY-5,MG5008,JAY-5
27452,MG 4572,JAY,JAY-5,MG4572,JAY-5
27425,MG 7103,JAY,JAY-10,MG7103,JAY-10
27545,MG 7132,JAY,JAY-10,MG7132,JAY-10
27548,MG 7017,JAY,JAY-10,MG7017,JAY-10
27496,MG 5013,JAY,JAY-5,MG5013,JAY-5
27497,MG 4779,JAY,JAY-5,MG4779,JAY-5
27514,MG 5023,JAY,JAY-5,MG5023,JAY-5
27520,MG 5010,JAY,JAY-5,MG5010,JAY-5
27603,MG 4166,JAY,JAY-5,MG4166,JAY-5
27604,MG 5115,JAY-5,JAY-5Q,MG5115,JAY-5Q
27621,MG 5488,JAY,JAY-5Q,MG5488,JAY-5Q
27622,MG 5108,JAY,JAY-5Q,MG5108,JAY-5Q
27616,MG 4931,JAY,JAY-5,MG4931,JAY-5
27681,MG 5507,JAY,JAY-5Q,MG5507,JAY-5Q
27617,MG 4546,JAY,JAY-5,MG4546,JAY-5
27618,MG 4928,JAY,JAY-5,MG4928,JAY-5
27619,MG 5011,JAY,JAY-5,MG5011,JAY-5
27677,MG 5008,JAY,JAY-5,MG5008,JAY-5
27680,MG 4538,JAY,JAY-5,MG4538,JAY-5
27698,MG 4709,JAY,JAY-5,MG4709,JAY-5
27699,MG 4551,JAY,JAY-5,MG4551,JAY-5
27702,MG 4763,JAY,JAY-5,MG4763,JAY-5
27703,MG 6571,JAY,JAY-5,MG6571,JAY-5
27704,MG 4201,JAY,JAY-5,MG4201,JAY-5
27706,MG 4993,JAY,JAY-5,MG4993,JAY-5
27707,MG 4993,JAY,JAY-5,MG4993,JAY-5
27708,MG 4795,JAY,JAY-5,MG4795,JAY-5
27709,MG 4725,JAY,JAY-5,MG4725,JAY-5
27711,MG 4929,JAY,JAY-5,MG4929,JAY-5
27712,MG 6778,JAY,JAY-5,MG6778,JAY-5
27747,MG 5106,JAY-5,JAY-5Q,MG5106,JAY-5Q
27716,MG 4788,JAY,JAY-5,MG4788,JAY-5
27729,MG 7097,JAY,JAY-10,MG7097,JAY-10
27718,MG 4894,JAY,JAY-5,MG4894,JAY-5
27743,MG 6537,JAY,JAY-5,MG6537,JAY-5
27744,MG 5013,JAY,JAY-5,MG5013,JAY-5
27746,MG 4765,JAY,JAY-5,MG4765,JAY-5
27912,MG 5133,JAY,JAY-5Q,MG5133,JAY-5Q
27882,MG 4914,JAY,JAY-5,MG4914,JAY-5
27984,MG 6781,JAY,JAY-5,MG6781,JAY-5
28034,MG 4783,JAY,JAY-5,MG4783,JAY-5
28048,MG 7096,JAY,JAY-10,MG7096,JAY-10
28062,MG 6522,JAY,JAY-5,MG6522,JAY-5
28114,MG 5121,JAY,JAY-5Q,MG5121,JAY-5Q
28077,MG 7104,JAY,GII T-25T,MG7104,GII T-25T
28081,MG 6432,JAY,JAY-5,MG6432,JAY-5
28144,MG 7104,JAY,GII T-25T,MG7104,GII T-25T
28173,MG 4777,JAY,JAY-5,MG4777,JAY-5
28185,MG 4745,JAY,JAY-5,MG4745,JAY-5
28186,MG 6788,JAY,JAY-5,MG6788,JAY-5
28196,MG 4439,JAY,JAY-5,MG4439,JAY-5
28199,MG 4574,JAY,JAY-5,MG4574,JAY-5
28212,MG 5016,JAY,JAY-5,MG5016,JAY-5
28214,MG 4201,JAY,JAY-5,MG4201,JAY-5
28345,MG 5535,JAY,JAY-5Q,MG5535,JAY-5Q
28347,MG 6348,JAY-5,JAY-5Q,MG6348,JAY-5Q
28366,MG 4056,JAY,JAY-5,MG4056,JAY-5
28367,MG 4242,JAY,JAY-5,MG4242,JAY-5
28561,MG 4202,JAY,JAY-5,MG4202,JAY-5
28565,MG 4987,JAY,JAY-5,MG4987,JAY-5
21075,MG 4598,,JAY-5,MG4598,JAY-5
25152,MG 4982,JAY,JAY-5,MG4982,JAY-5
28391,MG 5052,JAY,JAY-5Q,MG5052,JAY-5Q
28368,MG 5479,JAY-5,JAY-5Q,MG5479,JAY-5Q
28369,MG 5486,JAY-5,JAY-5Q,MG5486,JAY-5Q
28418,MG 4538,JAY,JAY-5,MG4538,JAY-5
28432,MG 4914,JAY,JAY-5,MG4914,JAY-5
28434,MG 4745,JAY,JAY-5,MG4745,JAY-5
28435,MG 4765,JAY,JAY-5,MG4765,JAY-5
28438,MG 5522,,JAY-5Q,MG5522,JAY-5Q
28457,MG 4714,JAY,JAY-5,MG4714,JAY-5
16732,mg 3561,JAY,JAY-5,MG3561,JAY-5
17624,MG 3562,JAY,JAY-5,MG3562,JAY-5
17877,mg 3672,JAY,JAY-5,MG3672,JAY-5
21043,MG 4537,JAY,JAY-5,MG4537,JAY-5
21774,MG 4436,JAY,JAY-5,MG4436,JAY-5
21925,mg 3756,JAY,JAY-5,MG3756,JAY-5
