table_name,pk_value,column_name,old_value,new_value,confidence,method,evidence_url,ts,note
marcas,124,nombre,ENERGY SAVER,Energy Saver,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,293,nombre,SCHILLER,Schiller,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,77,nombre,CORIONIC,Corionic,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,104,nombre,DULOVAK,Dulovak,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,215,nombre,MINDRAY,Mindray,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,272,nombre,RAZEL,Razel,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,283,nombre,RHOMICRON,Rhomicron,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,336,nombre,WEROS,Weros,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,3,nombre,ABBOTT,Abbott,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,6,nombre,AGILENT,Agilent,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,18,nombre,APEMA,Apema,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,56,nombre,CARDIMAX,Cardimax,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,62,nombre,CLOUD,Cloud,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,74,nombre,COMPAT,Compat,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,137,nombre,FUKUDA,Fukuda,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,145,nombre,GENERAL ELECTRIC,General Electric,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,149,nombre,heahldyne,Heahldyne,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,153,nombre,HEWLETT PACKARD,Hewlett Packard,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,157,nombre,HP- PHILIPS,HP- Philips,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,181,nombre,KENDALL,Kendall,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,208,nombre,MEDICAL HEALTHY,Medical Healthy,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,284,nombre,ROSCH,Rosch,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,312,nombre,SULLIVAN,Sullivan,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,41,nombre,BIRD,Bird,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,64,nombre,CODE MASTER,Code Master,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,66,nombre,colin,Colin,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,68,nombre,comp. Edan,Comp. Edan,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,69,nombre,comp. Meditech,Comp. Meditech,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,110,nombre,easote,Easote,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,119,nombre,ELECTROMEDIK,Electromedik,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,147,nombre,HAND,Hand,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,172,nombre,INTERMED,Intermed,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,188,nombre,LAERDAL,Laerdal,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,201,nombre,MAXTEC,Maxtec,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,204,nombre,MEDD,Medd,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,243,nombre,OHMEDA,Ohmeda,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,260,nombre,PHISYO CONTROL,Phisyo Control,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,269,nombre,PULMONETIC,Pulmonetic,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,288,nombre,SAMARITAN,Samaritan,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,317,nombre,SYSTEL VITA,Systel Vita,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,318,nombre,TAEMA,Taema,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,322,nombre,TRANQUILITY,Tranquility,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,328,nombre,VALEYLAB,Valeylab,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,332,nombre,VISION AIRE,Vision Aire,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,334,nombre,VOLUMED,Volumed,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
marcas,524,nombre,INOGEN,Inogen,100.0,JW+TokenSort,PENDING,2025-09-18 15:50:38,Normalización de marca
devices,15174,model_id,513,529,94.73,JW+TokenSort,PENDING,2025-09-18 15:51:58,Merge modelo duplicado
models,513,__delete__,"marca_id=227,nombre=N-595",merged->529,94.73,JW+TokenSort,PENDING,2025-09-18 15:51:58,Eliminado modelo duplicado
devices,15174,marca_id,227,226,94.73,JW+TokenSort,PENDING,2025-09-18 15:51:58,Reasignación de marca
devices,15505,marca_id,127,110,89.17,JW+TokenSort,PENDING,2025-09-18 15:51:58,Reasignación de marca
models,1,nombre,DemoModel,Demomodel,100.0,JW+TokenSort,PENDING,2025-09-18 15:51:59,Normalización de modelo
models,2,nombre,patrol,Patrol,100.0,JW+TokenSort,PENDING,2025-09-18 15:51:59,Normalización de modelo
models,5,nombre,ELITE II,Elite II,100.0,JW+TokenSort,PENDING,2025-09-18 15:51:59,Normalización de modelo
models,6,nombre,INFINIT,Infinit,100.0,JW+TokenSort,PENDING,2025-09-18 15:51:59,Normalización de modelo
models,7,nombre,INTENSITY,Intensity,100.0,JW+TokenSort,PENDING,2025-09-18 15:51:59,Normalización de modelo
devices,58,model_id,8,7,87.83,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,59,model_id,8,7,87.83,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,18978,model_id,8,7,87.83,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,21754,model_id,8,7,87.83,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,21813,model_id,8,7,87.83,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,22284,model_id,8,7,87.83,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,22317,model_id,8,7,87.83,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,22484,model_id,8,7,87.83,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
models,8,__delete__,"marca_id=7,nombre=INTENSITY 10L",merged->7,87.83,JW+TokenSort,PENDING,2025-09-18 15:52:52,Eliminado modelo duplicado
devices,15241,model_id,9,7,90.36,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15631,model_id,9,7,90.36,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,17218,model_id,9,7,90.36,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,21205,model_id,9,7,90.36,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
models,9,__delete__,"marca_id=7,nombre=INTENSITY 8L",merged->7,90.36,JW+TokenSort,PENDING,2025-09-18 15:52:52,Eliminado modelo duplicado
devices,15265,model_id,10,10,100.0,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
models,10,__delete__,"marca_id=7,nombre=MEW LIFE",merged->10,100.0,JW+TokenSort,PENDING,2025-09-18 15:52:52,Eliminado modelo duplicado
models,11,nombre,NEW  LIFE,MEW Life,89.58,JW+TokenSort,PENDING,2025-09-18 15:52:52,Normalización de modelo
devices,17122,model_id,12,12,100.0,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
models,12,__delete__,"marca_id=7,nombre=new ife",merged->12,100.0,JW+TokenSort,PENDING,2025-09-18 15:52:52,Eliminado modelo duplicado
models,13,nombre,new lfe,New Ife,90.0,JW+TokenSort,PENDING,2025-09-18 15:52:52,Normalización de modelo
devices,16272,model_id,14,13,85.28,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
models,14,__delete__,"marca_id=7,nombre=NEW LI FE",merged->13,85.28,JW+TokenSort,PENDING,2025-09-18 15:52:52,Eliminado modelo duplicado
devices,15175,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15185,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15202,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15240,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15252,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15253,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15264,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15266,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15268,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15303,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15333,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15384,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15428,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15454,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15457,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15483,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15485,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15498,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15501,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15502,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15529,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15545,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15583,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15587,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15610,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15611,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15612,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15613,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15614,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15622,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15628,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15629,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15630,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15637,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15682,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15709,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15722,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15747,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15748,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15777,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15796,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15812,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15813,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,15814,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
