brand_norm,cluster_id,canonical_model_norm,members,total
RESPIRE,4,ELECTROMEDICINA,ELECTROMEDICINA,1
RESPIRONICS,1,SERIE M,SERIE M,74
RESPIRONICS,2,,,56
RESPIRONICS,3,IN-171,IN-171,42
RESPIRONICS,4,HARMONY,HARMONY,35
RESPIRONICS,5,EVERFLO,EVERFLO,34
RESPIRONICS,6,REMSTAR,REMSTAR,33
RESPIRONICS,7,SYSTEM ONE,SYSTEM ONE,27
RESPIRONICS,8,RESMART,RESMART,15
RESPIRONICS,9,PRO,PRO,12
RESPIRONICS,10,SYNCHRONY,SYNCHRONY,9
RESPIRONICS,11,MILLENIUM,MILLENIUM,8
