brand_norm,model_norm,cluster_id,canonical_model_norm
BEAS,SLEEP 20,1,SLEEP 20
BIOCARE,IE-101,1,IE-101
BIOCARE,,2,
BIOCARE,101,3,101
BIOMAX,500 BAE,1,500 BAE
BIOMAX,900,2,900
BIOMED,MVP-10,1,MVP-10
BIRD,15682,1,15682
BISTOS,BT300,1,BT300
BMC,GII,1,GII
BMC,G2,2,G2
BMC,G1,3,G1
BMC,RESMART,4,RESMART
BMC,G2S,5,G2S
BMC,25T,6,25T
BMC,G3,7,G3
BMC,YH-600B PRO,8,YH-600B PRO
BMC,G1B,9,G1B
BMC,G2 H60,10,G2 H60
BMC,GII T-25T,11,GII T-25T
BMC,,12,
BMC,REMSTAR,13,REMSTAR
BMC,GI,14,GI
BMC,POLYWATCH,15,POLYWATCH
BMC,RESMART GII,16,RESMART GII
BMC,MINI M1,17,MINI M1
BMC,G1 25T,18,G1 25T
BMC,H-80,19,H-80
BMC,G3-C20,20,G3-C20
BMC,GII Y-25T,21,GII Y-25T
BMC,GII T25S,22,GII T25S
BMC,25,23,25
BMC,G3 B30VT,24,G3 B30VT
BMC,G2S B25S,25,G2S B25S
BMC,REMSTART,26,REMSTART
BMC,G2S B25T,27,G2S B25T
BMC,G3 A20,28,G3 A20
BMC,G2S A20,29,G2S A20
BMC,H60,30,H60
BMC,G2 T25T,31,G2 T25T
BMC,AUTO,32,AUTO
BMC,RESMART G1,33,RESMART G1
BMC,H-80M,34,H-80M
BMC,GII T25A,35,GII T25A
BMC,G1 25,36,G1 25
BMC,KIT DE RESPIRACION,37,KIT DE RESPIRACION
BMC,H-80A,38,H-80A
BMC,GI-25,39,GI-25
BMC,G2S C20,40,G2S C20
BMC,CPAP/BPAP,41,CPAP/BPAP
BMC,T20S,42,T20S
BMC,HG2 H60,43,HG2 H60
BMC,25ST,44,25ST
BMC,CPAP GII,45,CPAP GII
BMC,POLYPRO,46,POLYPRO
BMC,POLYPRO A,47,POLYPRO A
BMC,LUNA G2,48,LUNA G2
BMC,KIT RESPIRATORIO POLYWACH,49,KIT RESPIRATORIO POLYWACH
BMC,KIT RESPIRATORIO,50,KIT RESPIRATORIO
BMC,RESMART G1 25T,51,RESMART G1 25T
BMC,RESMART G2,52,RESMART G2
BMC,50,53,50
BMC,GI 25T,54,GI 25T
BMC,GRIS,55,GRIS
BMC,GIIS C-20,56,GIIS C-20
BMC,MINI,57,MINI
BMC,RESMART AUTO,58,RESMART AUTO
BMC,BLANCO,59,BLANCO
BMC,POLYWATCH YH-6000B PRO,60,POLYWATCH YH-6000B PRO
BMC,G2S B25A,61,G2S B25A
BMC,G1 25S,62,G1 25S
BMC,G2S B20V,63,G2S B20V
BMC,T25A,64,T25A
BMC,G2 Y25T,65,G2 Y25T
BMC,M1,66,M1
BMC,HC-3,67,HC-3
BMD,FLO-DISC MVP-10,1,FLO-DISC MVP-10
BMG,,1,
BMP,INVP-10,1,INVP-10
BMXC,G1,1,G1
BREAS,SLEEP,1,SLEEP
BREAS,,2,
BREAS,GEISLEEP 20I,3,GEISLEEP 20I
BREAS,SLEEP 20 I,4,SLEEP 20 I
BS ELECTRONICS,,1,
CAIRE OCS Y COMPANION 5,,1,
CAM,,1,
CARDIMAX,FUKUDA,1,FUKUDA
CARDIOTECNICA,OXI-411,1,OXI-411
CARDIOTECNICA,RG-401,2,RG-401
CARDIOTECNICA,,3,
CARDIOTECNICO,,1,
CAS,,1,
CAS,SYSTEM 9303,2,SYSTEM 9303
CHOICE,MMED6000DP,1,MMED6000DP
CHOICE,MD 300X,2,MD 300X
CHOICE,MD-300,3,MD-300
CLOUD,,1,
CODE MASTER,,1,
COLIN,PRELIGY 2,1,PRELIGY 2
COMP EDAN,ADULTO,1,ADULTO
COMP MEDITECH,ADULTO,1,ADULTO
COMPANION,COMPANION,1,COMPANION
COMPAT,,1,
CONTEC,ADULTO,1,ADULTO
CONTEC,,2,
CONTEC,CMS600,3,CMS600
CONTEC,CMS56000,4,CMS56000
CONTEC,CMS6000,5,CMS6000
CORIONIC,MONITOR FETAL,1,MONITOR FETAL
CORIONIC,,2,
CORIONIC,CM2 2,3,CM2 2
CORIONIK,,1,
COVIDIEN,PB560,1,PB560
COVIDIEN,EPUMP,2,EPUMP
COVIDIEN,DS100A,3,DS100A
DATEX,SATLITE TRANS,1,SATLITE TRANS
DATEX,OHMEDA,2,OHMEDA
DATEX,SATLITE,3,SATLITE
DEAN,,1,
DEBILBISS,,1,
DEVILBIIS,,1,
DEVILBIISS,,1,
DEVILBIS,,1,
DEVILBISS,,1,
DEVILBISS,SUCCION UNIT,2,SUCCION UNIT
DEVILBISS,VACU-AIDE,3,VACU-AIDE
DEVILBISS,525,4,525
DEVILBISS,515,5,515
DEVILBISS,7305,6,7305
DEVILBISS,VACUMAX,7,VACUMAX
DEVILBISS,HSU,8,HSU
DEVILBISS,UNIC SUCCION,9,UNIC SUCCION
DEVILBISS,SUNRISE,10,SUNRISE
DEVILBISS,9000D,11,9000D
DEVILBISS,HEALTCARE,12,HEALTCARE
DEVILBISS,UNIT SUCCION,13,UNIT SUCCION
DEVILBISS,PI,14,PI
DEVILBISS,9055,15,9055
DEVILBISS,SUCTION,16,SUCTION
DEVILBISS,12 V,17,12 V
DEVILBISS,515 IZ,18,515 IZ
DEVILBISS,DEVILBISS,19,DEVILBISS
DEVILBISS,INTELLIPAP,20,INTELLIPAP
DEVILBISS,INTELILLENT PAP,21,INTELILLENT PAP
DEVILBISS,7314P-D,22,7314P-D
DEVILVIS,,1,
DRAGER,DRAGER,1,DRAGER
DRAGUER,,1,
DRAGUER,OXYTREND,2,OXYTREND
DULOVAK,DK-720,1,DK-720
DULOVAK,,2,
E Y M,C-12B,1,C-12B
E&M,C-12B,1,C-12B
EAGLE,3000,1,3000
EASOTE,P8000,1,P8000
EASY GO,VAC,1,VAC
EASY GO,PM65HG,2,PM65HG
EASY GO,VACUMAX,3,VACUMAX
EASY GO,EASYGO VAC,4,EASYGO VAC
EASY GO,,5,
EASY GO,GO VAC,6,GO VAC
EASY GO,VACUOM,7,VACUOM
EASY GO VAC,PM65HG,1,PM65HG
EASY GO VAC,,2,
EDAM,,1,
EDAM,SE1,2,SE1
EDAN,M3A,1,M3A
EDAN,,2,
EDAN,M3,3,M3
EDAN,SE1,4,SE1
EDAN,ADULTO,5,ADULTO
EDAN,M8,6,M8
EDAN,M300,7,M300
EI,K-135,1,K-135
EI,K-130,2,K-130
EI,K-90,3,K-90
ELECTRO MEDICINA ARGENTINA,RESPIRE,1,RESPIRE
ELECTROMEDIC,JAZZ,1,JAZZ
ELECTROMEDIK,,1,
EM,RESPIRE,1,RESPIRE
EMA,RESPIRE,1,RESPIRE
EMERSON,CA-3000,1,CA-3000
ENERGY POWER,BMC,1,BMC
ENERGY SABER,,1,
ENERGY SABER,P/ASPIRADOR,2,P/ASPIRADOR
ENERGY SABER,12 V,3,12 V
ENERGY SABER,FSE40H 12,4,FSE40H 12
ENERGY SABER,3 3A,5,3 3A
ENERGY SABER,12 V 3 3A,6,12 V 3 3A
ENERGY SABER,FSE40H,7,FSE40H
ENERGY SAVER,3 3A,1,3 3A
ENERGY SAVER,MOVIVAC,2,MOVIVAC
ENERGY SAVER,,3,
ENMIND,EN-V7,1,EN-V7
