device_id,alquilado,alquiler_a,n_de_control,numero_serie
26297,True,1170 COCUZZA S.R.L.,MG 7155,MG 7155
26306,True,1170 COCUZZA S.R.L.,MG 7168,MG 7168
25196,True,1170 COCUZZA S.R.L.,MG 0312,MG 0312
25086,True,1170 COCUZZA S.R.L.,MG 6337,MG 6337
24373,True,1170 COCUZZA S.R.L.,MG 4047,MG 4047
25407,True,1170 COCUZZA S.R.L.,MG 4391,MG 4391
27295,True,1170 COCUZZA S.R.L.,MG 4431,MG 4431
27845,True,1170 COCUZZA S.R.L.,MG 4609,MG 4609
25411,True,1170 COCUZZA S.R.L.,MG 4423,MG 4423
24100,True,1170 COCUZZA S.R.L.,MG 4050,MG 4050
27573,True,1170 COCUZZA S.R.L.,MG 4329,MG 4329
25394,True,1170 COCUZZA S.R.L.,MG 4176,MG 4176
25393,True,1170 COCUZZA S.R.L.,MG 4113,MG 4113
25397,True,1170 COCUZZA S.R.L.,MG 4187,MG 4187
24411,True,1170 COCUZZA S.R.L.,MG 6696,MG 6696
26500,True,1170 COCUZZA S.R.L.,MG 5641,MG 5641
22674,True,1170 COCUZZA S.R.L.,MG 7379,H2120105183
25418,True,1170 COCUZZA S.R.L.,MG 5801,MG 5801
28105,True,1170 COCUZZA S.R.L.,MG 5547,MG 5547
23947,True,1170 COCUZZA S.R.L.,MG 6029,MG 6029
27852,True,1170 COCUZZA S.R.L.,MG 6171,MG 6171
25426,True,1170 COCUZZA S.R.L.,MG 5957,MG 5957
25431,True,1170 COCUZZA S.R.L.,MG 6748,MG 6748
27850,True,1170 COCUZZA S.R.L.,MG 6101,MG 6101
24217,True,1170 COCUZZA S.R.L.,MG 6153,MG 6153
25428,True,1170 COCUZZA S.R.L.,MG 6049,MG 6049
27588,True,1170 COCUZZA S.R.L.,MG 5875,MG 5875
26826,True,1170 COCUZZA S.R.L.,MG 5893,MG 5893
25422,True,1170 COCUZZA S.R.L.,MG 5913,MG 5913
27593,True,1170 COCUZZA S.R.L.,MG 6836,MG 6836
25752,True,1170 COCUZZA S.R.L.,MG 7170,MG 7170
23526,True,1170 COCUZZA S.R.L.,MG 5543,MG 5543
23579,True,1170 COCUZZA S.R.L.,MG 6879,AJD16681028
22495,True,1170 COCUZZA S.R.L.,MG 3788,MG 3788
22686,True,1170 COCUZZA S.R.L.,MG 3751,MG 3751
26119,True,1170 COCUZZA S.R.L.,MG 4971,MG 4971
22713,True,1170 COCUZZA S.R.L.,MG 5071,MG 5071
26268,True,1170 COCUZZA S.R.L.,MG 1354,CJD16521354
24821,True,1170 COCUZZA S.R.L.,MG 7183,A6-00210
20007,True,1170 COCUZZA S.R.L.,MG 1075,MG 1075
24820,True,1170 COCUZZA S.R.L.,MG 7184,C9-00914
24866,True,1170 COCUZZA S.R.L.,MG 7189,D5*1617
23603,True,1170 COCUZZA S.R.L.,MG 3458,MG 3458
25133,True,1170 COCUZZA S.R.L.,MG 7070,MG 7070
27128,True,ARIEL YACOBONE,MG 6572,MG 6572
25311,True,1170 COCUZZA S.R.L.,MG 6565,MG 6565
25843,True,1170 COCUZZA S.R.L.,MG 6427,MG 6427
27703,True,1170 COCUZZA S.R.L.,MG 6571,MG 6571
28110,True,1170 COCUZZA S.R.L.,MG 6435,MG 6435
25846,True,1170 COCUZZA S.R.L.,MG 6524,MG 6524
27710,True,1170 COCUZZA S.R.L.,MG 6541,MG 6541
27715,True,1170 COCUZZA S.R.L.,MG 6446,MG 6446
24670,True,1170 COCUZZA S.R.L.,MG 4558,MG 4558
25527,True,1170 COCUZZA S.R.L.,MG 5012,MG 5012
26281,True,ORTOPEDIA INTEGRAR S.R.L.,MG 4560,MG 4560
27618,True,BIOMEDIX SAS,MG 4928,MG 4928
27514,True,1170 COCUZZA S.R.L.,MG 5023,MG 5023
27497,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 4779,MG 4779
27744,True,SIM ELECTRO MEDICINA,MG 5013,MG 5013
26582,True,BIOMEDIX SAS,MG 7016,MG 7016
22661,True,1170 COCUZZA S.R.L.,MG 4557,MG 4557
27677,True,1170 COCUZZA S.R.L.,MG 5008,MG 5008
24620,True,1170 COCUZZA S.R.L.,MG 4436,MG 4436
26316,True,1170 COCUZZA S.R.L.,MG 4926,MG 4926
24284,True,1170 COCUZZA S.R.L.,MG 4927,MG 4927
28434,True,MARTIN ARRIOLA,MG 4745,MG 4745
27351,True,1170 COCUZZA S.R.L.,MG 4792,MG 4792
25679,True,1170 COCUZZA S.R.L.,MG 4895,MG 4895
25372,True,1170 COCUZZA S.R.L.,MG 4531,MG 4531
27452,True,LA VIE INSUMOS Y SERVICIOS S.R.L.,MG 4572,MG 4572
27699,True,1170 COCUZZA S.R.L.,MG 4551,MG 4551
27984,True,1170 COCUZZA S.R.L.,MG 6781,MG 6781
27713,True,1170 COCUZZA S.R.L.,MG 6770,MG 6770
27548,True,ARIEL YACOBONE,MG 7017,MG 7017
26081,True,1170 COCUZZA S.R.L.,MG 7108,MG 7108
26452,True,GUARDIS RUBEN ALBERTO,MG 5489,MG 5489
24291,True,1170 COCUZZA S.R.L.,MG 1472,MG 1472
23608,True,1170 COCUZZA S.R.L.,MG 1775,MG 1775
28146,True,SIMPLE SALUD SA,MG 2379,MG 2379
23954,True,1170 COCUZZA S.R.L.,MG 2807,MG 2807
24391,True,1170 COCUZZA S.R.L.,MG 3368,MG 3368
26344,True,1170 COCUZZA S.R.L.,MG 2061,0012061
27154,True,ALCLA S.A.C.I.F.I.A.,MG 6071,MG 6071
18449,True,DIAGNOSTIC MEDIC S.A.,MG 1801,MG 1801
28648,True,DIAGNOSTIC MEDIC S.A.,MG 2742,06-0049-14-A
27020,True,DIAGNOSTIC MEDIC S.A.,MG 1970,MG 1970
28187,True,DIAGNOSTIC MEDIC S.A.,MG 2412,MG 2412
27969,True,DIAGNOSTIC MEDIC S.A.,MG 2340,MG 2340
23706,True,DIAGNOSTIC MEDIC S.A.,MG 2679,MG 2679
28646,True,DIAGNOSTIC MEDIC S.A.,MG 2755,P1166029200F3
24080,True,DIAGNOSTIC MEDIC S.A.,MG 2751,MG 2751
24002,True,DIAGNOSTIC MEDIC S.A.,MG 5258,MG 5258
23705,True,DIAGNOSTIC MEDIC S.A.,MG 3232,MG 3232
23873,True,DIAGNOSTIC MEDIC S.A.,MG 3806,MG 3806
21104,True,DIAGNOSTIC MEDIC S.A.,MG 0744,MG 0744
23691,True,DIAGNOSTIC MEDIC S.A.,MG 0692,MG 0692
23197,True,DIAGNOSTIC MEDIC S.A.,MG 1850,MG 1850
16487,True,DIAGNOSTIC MEDIC S.A.,MG 0871,MG 0871
15690,True,DIAGNOSTIC MEDIC S.A.,MG 1698,MG 1698
28647,True,DIAGNOSTIC MEDIC S.A.,MG 2014,P07327845
25982,True,1170 COCUZZA S.R.L.,MG 3326,MG 3326
17179,True,DIAGNOSTIC MEDIC S.A.,MG 3335,MG 3335
28466,True,DIAGNOSTIC MEDIC S.A.,MG 2104,MG 2104
23293,True,DIAGNOSTIC MEDIC S.A.,MG 1488,MG 1488
24078,True,DIAGNOSTIC MEDIC S.A.,MG 1514,MG 1514
23466,True,DIAGNOSTIC MEDIC S.A.,MG 3867,MG 3867
26658,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 6441,MG 6441
26576,True,SIED SERVICIO INTEGRAL DOMICILIARIO SRL,MG 5000,MG 5000
