device_id,alquilado,alquiler_a,n_de_control,numero_serie
25752,True,1170 COCUZZA S.R.L.,MG 7170,MG 7170
23526,False,,,MG 5543
23579,True,1170 COCUZZA S.R.L.,MG 6879,AJD16681028
22495,True,1170 COCUZZA S.R.L.,MG 3788,MG 3788
22686,True,1170 COCUZZA S.R.L.,MG 3751,MG 3751
26119,True,1170 COCUZZA S.R.L.,MG 4971,MG 4971
22713,False,,,MG 5071
26268,False,,,CJD16521354
24821,True,1170 COCUZZA S.R.L.,MG 7183,A6-00210
20007,True,1170 COCUZZA S.R.L.,MG 1075,MG 1075
24820,True,1170 COCUZZA S.R.L.,MG 7184,C9-00914
24866,True,1170 COCUZZA S.R.L.,MG 7189,D5*1617
23603,False,,,MG 3458
25133,False,,,MG 7070
27128,False,,,MG 6572
25311,False,,,MG 6565
25843,True,1170 COCUZZA S.R.L.,MG 6427,MG 6427
27703,False,,,MG 6571
28110,True,1170 COCUZZA S.R.L.,MG 6435,MG 6435
25846,True,1170 COCUZZA S.R.L.,MG 6524,MG 6524
27710,True,1170 COCUZZA S.R.L.,MG 6541,MG 6541
27715,True,1170 COCUZZA S.R.L.,MG 6446,MG 6446
24670,True,1170 COCUZZA S.R.L.,MG 4558,MG 4558
25527,False,,,MG 5012
26281,False,,,MG 4560
27618,False,,,MG 4928
27514,False,,,MG 5023
27497,False,,,MG 4779
27744,False,,,MG 5013
26582,False,,,MG 7016
22661,False,,,MG 4557
27677,False,,,MG 5008
24620,False,,,MG 4436
26316,False,,,MG 4926
24284,False,,,MG 4927
28434,False,,,MG 4745
27351,True,1170 COCUZZA S.R.L.,MG 4792,MG 4792
25679,True,1170 COCUZZA S.R.L.,MG 4895,MG 4895
25372,False,,,MG 4531
27452,False,,,MG 4572
27699,False,,,MG 4551
27984,False,,,MG 6781
27713,True,1170 COCUZZA S.R.L.,MG 6770,MG 6770
27548,False,,,MG 7017
26081,False,,,MG 7108
26452,False,,,MG 5489
24291,False,,,MG 1472
23608,False,,,MG 1775
28146,False,,,MG 2379
23954,True,1170 COCUZZA S.R.L.,MG 2807,MG 2807
24391,False,,,MG 3368
26344,True,1170 COCUZZA S.R.L.,MG 2061,0012061
27154,False,,,MG 6071
18449,False,,,MG 1801
28648,True,DIAGNOSTIC MEDIC S.A.,MG 2742,06-0049-14-A
27020,True,DIAGNOSTIC MEDIC S.A.,MG 1970,MG 1970
28187,True,DIAGNOSTIC MEDIC S.A.,MG 2412,MG 2412
27969,True,DIAGNOSTIC MEDIC S.A.,MG 2340,MG 2340
23706,False,,,MG 2679
28646,True,DIAGNOSTIC MEDIC S.A.,MG 2755,P1166029200F3
24080,False,,,MG 2751
24002,True,DIAGNOSTIC MEDIC S.A.,MG 5258,MG 5258
23705,False,,,MG 3232
23873,True,DIAGNOSTIC MEDIC S.A.,MG 3806,MG 3806
21104,False,,,MG 0744
23691,True,DIAGNOSTIC MEDIC S.A.,MG 0692,MG 0692
23197,False,,,MG 1850
16487,False,,,MG 0871
15690,True,DIAGNOSTIC MEDIC S.A.,MG 1698,MG 1698
28647,True,DIAGNOSTIC MEDIC S.A.,MG 2014,P07327845
25982,True,1170 COCUZZA S.R.L.,MG 3326,MG 3326
17179,False,,,MG 3335
28466,True,DIAGNOSTIC MEDIC S.A.,MG 2104,MG 2104
23293,True,DIAGNOSTIC MEDIC S.A.,MG 1488,MG 1488
24078,False,,,MG 1514
23466,True,DIAGNOSTIC MEDIC S.A.,MG 3867,MG 3867
26658,False,,,MG 6441
26576,False,,,MG 5000
27209,False,,,MG 4737
27681,False,,,MG 5507
27312,False,,,MG 1733
27968,True,DIAGNOSTIC MEDIC S.A.,MG 1724,MG 1724
26828,True,DIAGNOSTIC MEDIC S.A.,MG 1793,MG 1793
26368,True,SIMPLE SALUD SA,MG 1812,MG 1812
27018,True,DIAGNOSTIC MEDIC S.A.,MG 2160,MG 2160
17491,False,,,MG 2226
15509,True,DRE LUIS EROS,MG 0622,MG 0622
19591,True,DRE LUIS EROS,MG 3807,MG 3807
23055,False,,,MG 0155
28432,False,,,MG 4914
28418,False,,,MG 4538
27604,True,ANDREOLI EDUARDO GABRIEL,MG 5115,MG 5115
27622,False,,,MG 5108
26703,False,,,MG 5137
27622,True,ANDREOLI EDUARDO GABRIEL,MG 5108,MG 5108
24637,True,ANDREOLI EDUARDO GABRIEL,MG 5127,MG 5127
26703,True,ANDREOLI EDUARDO GABRIEL,MG 5137,MG 5137
27681,True,DIAGNOSTIC MEDIC S.A.,MG 5507,MG 5507
28391,False,,,MG 5052
24623,False,,,MG 3863
28655,False,,MG 7274,A2-0075
26269,False,,,MG 0008
25725,False,,,MG 1569
25606,False,,,MG 1591
27044,False,,,MG 7080
22046,True,MD FLY S.A.,MG 3305,MG 3305
28464,False,,,MG 6338
28169,True,LANCET CORP. ARGENTINA S.R.L.,MG 7306,MG 7306
19481,False,,,MG 3880
28168,False,,,MG 1231
27024,False,,,MG 3399
28020,True,LANCET CORP. ARGENTINA S.R.L.,MG 6811,MG 6811
28019,True,LANCET CORP. ARGENTINA S.R.L.,MG 7140,MG 7140
28340,False,,,MG 4976
24535,True,LANCET CORP. ARGENTINA S.R.L.,MG 7141,CSX1882K137
26116,True,1170 COCUZZA S.R.L.,MG 6661,MG 6661
23103,True,LANCET CORP. ARGENTINA S.R.L.,MG 6643,MG 6643
28423,True,LANCET CORP. ARGENTINA S.R.L.,MG 3836,MG 3836
27291,False,,,MG 1956
28424,False,,,MG 2383
28426,False,,,MG 2650
28335,True,LANCET CORP. ARGENTINA S.R.L.,MG 3824,MG 3824
28336,True,LANCET CORP. ARGENTINA S.R.L.,MG 0445,MG 0445
28337,False,,,MG 3811
20706,False,,,MG 0832
16311,True,LANCET CORP. ARGENTINA S.R.L.,MG 0400,MG 0400
28342,False,,,MG 1050
22426,False,,,MG 4896
28341,True,LANCET CORP. ARGENTINA S.R.L.,MG 0399,MG 0399
28425,False,,,MG 3661
21556,True,LANCET CORP. ARGENTINA S.R.L.,MG 4980,MG 4980
28422,False,,,MG 5302
28170,True,LANCET CORP. ARGENTINA S.R.L.,MG 4948,MG 4948
21802,True,LANCET CORP. ARGENTINA S.R.L.,MG 4385,MG 4385
20404,True,LANCET CORP. ARGENTINA S.R.L.,MG 4046,MG 4046
28339,False,,,MG 6336
28046,True,LANCET CORP. ARGENTINA S.R.L.,MG 4966,MG 4966
28338,False,,,MG 3704
28343,True,LANCET CORP. ARGENTINA S.R.L.,MG 1737,MG 1737
28031,True,LANCET CORP. ARGENTINA S.R.L.,MG 0857,MG 0857
28021,True,LANCET CORP. ARGENTINA S.R.L.,MG 0817,MG 0817
16510,True,LANCET CORP. ARGENTINA S.R.L.,MG 0816,MG 0816
20528,False,,,MG 1082
24101,True,LANCET CORP. ARGENTINA S.R.L.,MG 1494,MG 1494
21072,False,,,MG 1345
26337,True,LANCET CORP. ARGENTINA S.R.L.,MG 0726,C4258
28022,True,LANCET CORP. ARGENTINA S.R.L.,MG 0906,MG 0906
28023,False,,,MG 3119
27107,False,,,MG 3131
28421,False,,,MG 2887
26747,False,,,MG 6567
28128,False,,,MG 7157
21976,False,,,MG 2029
22313,False,,,MG 3269
28025,False,,,MG 3315
28016,True,LANCET CORP. ARGENTINA S.R.L.,MG 6812,MG 6812
28015,True,LANCET CORP. ARGENTINA S.R.L.,MG 7174,MG 7174
20712,True,LANCET CORP. ARGENTINA S.R.L.,MG 3735,MG 3735
22385,True,LANCET CORP. ARGENTINA S.R.L.,MG 5244,MG 5244
20384,False,,,MG 4051
24524,True,LANCET CORP. ARGENTINA S.R.L.,MG 3874,MG 3874
22489,False,,,MG 3877
26026,True,LANCET CORP. ARGENTINA S.R.L.,MG 7218,MG 7218
20438,False,,,MG 0578
17225,True,LANCET CORP. ARGENTINA S.R.L.,MG 3624,MG 3624
23130,False,,,MG 0347
22988,True,LANCET CORP. ARGENTINA S.R.L.,MG 5018,MG 5018
23629,True,LANCET CORP. ARGENTINA S.R.L.,MG 6557,MG 6557
21298,False,,,MG 4545
22876,False,,,MG 4582
22929,True,LANCET CORP. ARGENTINA S.R.L.,MG 4573,MG 4573
22884,True,LANCET CORP. ARGENTINA S.R.L.,MG 4710,MG 4710
23618,True,LANCET CORP. ARGENTINA S.R.L.,MG 4983,MG 4983
28173,False,,,MG 4777
20322,True,LANCET CORP. ARGENTINA S.R.L.,MG 4446,MG 4446
22305,False,,,MG 4804
22601,False,,,MG 4198
24261,False,,,MG 4721
22306,False,,,MG 4390
24088,True,LANCET CORP. ARGENTINA S.R.L.,MG 6708,MG 6708
28186,False,,,MG 6788
28680,False,,MG 7096,MZJ10S572906
27545,False,,,MG 7132
22669,False,,,MG 5343
21191,False,,,MG 1955
20614,True,LANCET CORP. ARGENTINA S.R.L.,MG 2983,MG 2983
27916,False,,,MG 0033
27627,False,,,MG 2833
26567,False,,,MG 2854
27066,False,,,MG 3496
28467,False,,,MG 2485
28057,False,,,MG 2312
27880,False,,,MG 2504
28154,False,,,MG 7090
27310,False,,,MG 4754
27455,True,SUCESION DE SLOBINSKY EMILIO ENRIQUE,MG 1917,MZJ5S121917
26533,True,SLOBINSKY PABLO EMILIO,MG 5113,MG 5113
26382,False,,,MG 5155
27912,False,,,MG 5133
26162,True,SLOBINSKY PABLO EMILIO,MG 5128,MG 5128
26164,True,SLOBINSKY PABLO EMILIO,MG 5508,MG 5508
25936,True,SLOBINSKY PABLO EMILIO,MG 7005,MG 7005
26878,False,,,MG 2005
26733,False,,,MG 2302
26874,True,1170 COCUZZA S.R.L.,MG 7311,MG 7311
27301,False,,,MG 7316
26393,True,ARIEL YACOBONE,MG 0096,MA23080040096
26560,False,,,MG 0355
26559,False,,,MG 2094
28014,False,,,MG 0318
26749,False,,,MG 1295
27450,True,MEDICUS SA.. DE ASISTENCIA MED. Y CIENT.,MG 7303,MG 7303
26460,True,ARIEL YACOBONE,MG 4869,MG 4869
28014,True,NOVAMED S.A.,MG 0318,MG 0318
28168,True,LANCET CORP. ARGENTINA S.R.L.,MG 1231,MG 1231
27987,False,,,MG 7285
26322,True,ARIEL YACOBONE,MG 7309,MG 7309
27986,False,,,MG 6806
28119,False,,,MG 3137
27107,True,LANCET CORP. ARGENTINA S.R.L.,MG 3131,MG 3131
27454,False,,,MG 2889
26680,True,ARIEL YACOBONE,MG 0031,G70031
26747,True,LANCET CORP. ARGENTINA S.R.L.,MG 6567,MG 6567
27495,False,,,MG 7162
27085,False,,,MG 7163
27070,False,,,MG 7167
26724,True,ARIEL YACOBONE,MG 7299,MG 7299
28617,True,1170 COCUZZA S.R.L.,MG 6646,21686646
23871,True,ARIEL YACOBONE,MG 4333,MG 4333
27997,False,,,MG 5881
26476,True,ARIEL YACOBONE,MG 1516,MG 1516
27167,False,,,MG 7182
26867,False,,,MG 0580
25879,True,NOVAMED S.A.,MG 7241,MG 7241
26254,True,NOVAMED S.A.,MG 0072,MZJP00072
27128,True,1170 COCUZZA S.R.L.,MG 6572,MG 6572
27367,True,NOVAMED S.A.,MG 6561,MG 6561
27353,False,,,MG 6411
27705,True,NOVAMED S.A.,MG 6420,MG 6420
27520,False,,,MG 5010
27707,False,,,MG 4993
27619,False,,,MG 5011
27701,True,NOVAMED S.A.,MG 4595,MG 4595
27617,False,,,MG 4546
27616,False,,,MG 4931
27700,True,NOVAMED S.A.,MG 4552,MG 4552
27711,False,,,MG 4929
27321,False,,,MG 4734
27718,False,,,MG 4894
27326,False,,,MG 4801
27712,False,,,MG 6778
28636,False,,MG 7103,MZJ10S72892
28680,True,LANCET CORP. ARGENTINA S.R.L.,MG 7096,MZJ10S572906
23255,False,,,MG 1757
22325,False,,,MG 3397
17349,True,SANATORIO OTAMENDI Y MIROLI S.A.,MG 1020,MG 1020
25562,False,,,MG 3605
26398,False,,,MG 3796
25563,False,,,MG 5954
21583,False,,,MG 3875
25561,False,,,MG 2482
25773,True,OXY NET S.A.,MG 7178,MG 7178
28176,True,RESPIRAR S.A.,MG 7362,MG 7362
27301,True,NOVAMED S.A.,MG 7316,MG 7316
25541,False,,,A7-0423
26189,True,1170 COCUZZA S.R.L.,MG 0268,MG 0268
28439,True,RESPIRAR S.A.,MG 3320,MG 3320
20328,False,,,MG 2187
26405,True,RESPIRAR S.A.,MG 3810,MG 3810
26295,True,RESPIRAR S.A.,MG 7153,MG 7153
26724,True,NOVAMED S.A.,MG 7299,MG 7299
28635,False,,MG 3474,G07838665
26261,False,,,MG 4963
26736,True,RSC S.A.,MG 7286,MG 7286
27481,True,RSC S.A.,MG 7289,MG 7289
27987,True,NOVAMED S.A.,MG 7285,MG 7285
25718,True,CENTRO MEDICO AMENABAR SRL,MG 6633,MG 6633
27016,False,,,MG 4463
27152,False,,,MG 4365
27482,True,RSC S.A.,MG 7288,MG 7288
26737,True,RSC S.A.,MG 7287,MG 7287
28125,False,,,MG 7273
25493,False,,,MG 3378
22388,False,,,G3GA020917
27263,False,,,G3GBY000005
22722,False,,,G3GBY000032
27114,True,CENTRO MEDICO AMENABAR SRL,MG 2912,MG 2912
27975,False,,,MG 3379
25806,False,,,MG 3514
25233,True,SICOMED S.A.,MG 7134,MG 7134
27113,False,,,13074403
28062,False,,,MG 6522
28212,False,,,MG 5016
27708,False,,,MG 4795
27744,True,1170 COCUZZA S.R.L.,MG 5013,MG 5013
28432,True,ANDREOLI EDUARDO GABRIEL,MG 4914,MG 4914
26244,False,,,MG 3526
27044,True,MD FLY S.A.,MG 7080,MG 7080
18729,True,VIDAMED S.R.L.,MG 0172,MG 0172
16290,True,VIDAMED S.R.L.,MG 2249,MG 2249
27453,False,,,MG 0637
